PMM_CURVE_DATA
          P,         MX,         MY,
 -32521.416,  -5780.689, -10012.447,
 -32975.469,  -5700.549,  -9873.641,
 -33393.967,  -5624.486,  -9741.896,
 -33783.549,  -5552.739,  -9617.627,
 -34149.203,  -5485.324,  -9500.860,
 -34492.650,  -5421.795,  -9390.825,
 -34816.037,  -5361.861,  -9287.015,
 -35120.834,  -5305.191,  -9188.860,
 -35407.442,  -5251.359,  -9095.621,
 -35678.180,  -5200.280,  -9007.149,
 -59218.923,    125.336,    217.088,
 -59218.923,    206.522,    119.236,
 -35492.923,   8974.969,   5181.701,
 -35224.656,   9063.399,   5232.756,
 -34938.338,   9155.996,   5286.217,
 -34635.321,   9253.852,   5342.714,
 -34313.947,   9357.382,   5402.487,
 -33971.566,   9466.827,   5465.675,
 -33607.695,   9583.142,   5532.830,
 -33220.247,   9706.996,   5604.337,
 -32805.773,   9838.824,   5680.448,
 -32354.415,   9977.251,   5760.368,
 -31867.867,  10124.548,   5845.411,
 -31340.724,  10281.103,   5935.798,
 -30768.212,  10447.762,   6032.018,
 -30150.672,  10627.523,   6135.804,
 -29482.520,  10821.977,   6248.071,
 -28748.356,  11029.578,   6367.930,
 -27935.947,  11250.175,   6495.292,
 -27047.654,  11490.266,   6633.908,
 -26064.326,  11748.805,   6783.176,
 -24964.288,  12024.058,   6942.093,
 -23733.296,  12318.569,   7112.129,
 -22353.508,  12634.892,   7294.759,
 -20804.705,  12976.669,   7492.083,
 -19023.082,  13320.828,   7690.784,
 -17006.292,  13682.838,   7899.790,
 -14700.924,  14043.398,   8107.960,
 -12070.996,  14389.649,   8307.868,
  -9076.832,  14689.447,   8480.956,
  -5704.617,  14905.897,   8605.924,
  -1975.744,  14987.977,   8653.313,
   2043.855,  14987.850,   8653.239,
   6311.380,  14895.405,   8599.866,
  10674.708,  14576.087,   8415.508,
  14966.703,  14057.000,   8115.813,
  19053.165,  13383.072,   7726.720,
  22845.824,  12604.237,   7277.060,
  26319.061,  11774.597,   6798.067,
  29470.609,  10929.787,   6310.316,
  32324.660,  10097.074,   5829.548,
  34892.860,   9287.614,   5362.206,
  37236.025,   8519.004,   4918.449,
  39349.555,   7787.099,   4495.884,
  41289.715,   7099.733,   4099.033,
  43051.564,   6451.138,   3724.566,
  44685.339,   5844.529,   3374.340,
  46189.969,   5274.790,   3045.402,
  46387.322,   4620.829,   2667.837,
  47864.695,   4149.729,   2395.847,
  49230.048,   3700.943,   2136.740,
  50505.352,   3274.643,   1890.616,
  51690.633,   2869.206,   1656.537,
  52791.380,   2483.566,   1433.888,
  53818.411,   2116.935,   1222.213,
  54776.978,   1768.246,   1020.897,
  55675.447,   1436.577,    829.408,
  56513.840,   1120.820,    647.106,
  57297.881,    820.116,    473.494,
  58031.798,    533.611,    308.080,
  58716.745,    260.482,    150.390,
