item,no,ki,kj
element,399,152,156
element,400,156,160
element,401,177,161
element,402,178,162
element,403,179,163
element,404,180,164
element,405,181,165
element,406,182,166
element,407,183,167
element,408,184,168
element,409,185,169
element,410,186,170
element,411,187,171
element,412,188,172
element,413,189,173
element,414,190,174
element,415,191,175
element,416,192,176
element,417,161,162
element,418,162,163
element,419,163,164
element,420,165,166
element,421,166,167
element,422,167,168
element,423,169,170
element,424,170,171
element,425,171,172
element,426,173,174
element,427,174,175
element,428,175,176
element,429,161,165
element,430,165,169
element,431,169,173
element,432,162,166
element,433,166,170
element,434,170,174
element,435,163,167
element,436,167,171
element,437,171,175
element,438,164,168
element,439,168,172
element,440,172,176
element,441,193,177
element,442,194,178
element,443,195,179
element,444,196,180
element,445,197,181
element,446,198,182
element,447,199,183
element,448,200,184
element,449,201,185
element,450,202,186
element,451,203,187
element,452,204,188
element,453,205,189
element,454,206,190
element,455,207,191
element,456,208,192
element,457,177,178
element,458,178,179
element,459,179,180
element,460,181,182
element,461,182,183
element,462,183,184
element,463,185,186
element,464,186,187
element,465,187,188
element,466,189,190
element,467,190,191
element,468,191,192
element,469,177,181
element,470,181,185
element,471,185,189
element,472,178,182
element,473,182,186
element,474,186,190
element,475,179,183
element,476,183,187
element,477,187,191
element,478,180,184
element,479,184,188
element,480,188,192
element,481,209,193
element,482,210,194
element,483,211,195
element,484,212,196
element,485,213,197
element,486,214,198
element,487,215,199
element,488,216,200
element,489,217,201
element,490,218,202
element,491,219,203
element,492,220,204
element,493,221,205
element,494,222,206
element,495,223,207
element,496,224,208
element,497,193,194
element,498,194,195
element,499,195,196
element,500,197,198
element,501,198,199
element,502,199,200
element,503,201,202
element,504,202,203
element,505,203,204
element,506,205,206
element,507,206,207
element,508,207,208
element,509,193,197
element,510,197,201
element,511,201,205
element,512,194,198
element,513,198,202
element,514,202,206
element,515,195,199
element,516,199,203
element,517,203,207
element,518,196,200
element,519,200,204
element,520,204,208
element,521,225,209
element,522,226,210
element,523,227,211
element,524,228,212
element,525,229,213
element,526,230,214
element,527,231,215
element,528,232,216
element,529,233,217
element,530,234,218
element,531,235,219
element,532,236,220
element,533,237,221
element,534,238,222
element,535,239,223
element,536,240,224
element,537,209,210
element,538,210,211
element,539,211,212
element,540,213,214
element,541,214,215
element,542,215,216
element,543,217,218
element,544,218,219
element,545,219,220
element,546,221,222
element,547,222,223
element,548,223,224
element,549,209,213
element,550,213,217
element,551,217,221
element,552,210,214
element,553,214,218
element,554,218,222
element,555,211,215
element,556,215,219
element,557,219,223
element,558,212,216
element,559,216,220
element,560,220,224
element,561,241,225
element,562,242,226
element,563,243,227
element,564,244,228
element,565,245,229
element,566,246,230
element,567,247,231
element,568,248,232
element,569,249,233
element,570,250,234
element,571,251,235
element,572,252,236
element,573,253,237
element,574,254,238
element,575,255,239
element,576,256,240
element,577,225,226
element,578,226,227
element,579,227,228
element,580,229,230
element,581,230,231
element,582,231,232
element,583,233,234
element,584,234,235
element,585,235,236
element,586,237,238
element,587,238,239
element,588,239,240
element,589,225,229
element,590,229,233
element,591,233,237
element,592,226,230
element,593,230,234
element,594,234,238
